Source Role(s),Menu Item Name,Menu Item Route,Menu,Menu Type,Menu Item Product,Menu Item Page URL
AR Manager,Cash Management Deposit Summary Report,reports/cmdepositsummaryreport,AR Manager - Payments,Global,ARManagera13NET,/armanagera13net/content2/reports/cmdepositsummaryreport
AR Manager,Change Cash Receipt To Check Report,reports/cashReceiptToCheckReport,AR Manager - Payments,Global,ARManagera13NET,/armanagera13net/content2/reports/cashReceiptToCheckReport
GL Manager,Change Due Date,changetransdate/duedate,glmanagernet,Global,glmanagernet,/glmanagernet/content2/changetransdate/duedate
GL Manager,Change TaxPoint Date,changetransdate/taxpoint,glmanagernet,Global,glmanagernet,/glmanagernet/content2/changetransdate/taxpoint
AR Manager,Charge Display type,charges/chargedisplaytype,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/charges/chargedisplaytype
AR Manager,CHECKscan App Download,checkscan/checkscanappdownload,AR Manager - CHECKscan Download,Global,ARManagera13NET,/armanagera13net/content2/checkscan/checkscanappdownload
AR Manager,CHECKscan Dual MICR Checks,checkscan/dualMICRChecks,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/checkscan/dualMICRChecks
AR Manager,CHECKscan Fix Check Numbers,checkscan/checkscanfixcheckno,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/checkscan/checkscanfixcheckno
AR Manager,CHECKscan Setup,setup/checkscansetup,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/setup/checkscansetup
AR Manager,CMPI Statistics Report,reports/cmpistatisticsreport,AR Manager - Payments,Global,ARManagera13NET,/armanagera13net/content2/reports/cmpistatisticsreport
AR Manager,CMPI Transaction Count Report,reports/cmpitransactioncountreport,AR Manager - Payments,Global,ARManagera13NET,/armanagera13net/content2/reports/cmpitransactioncountreport
AR Manager,Collect Code Setup,setup/savecollectcodesetups,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/setup/savecollectcodesetups
AR Manager,Collect Processor Pre-Sync Report,reports/collectprocessorpresyncreport,AR Manager - Payments,Global,ARManagera13NET,/armanagera13net/content2/reports/collectprocessorpresyncreport
AR Manager,Collect Services Return Report,reports/collectServicesReturnReport,AR Manager - Payments,Global,ARManagera13NET,/armanagera13net/content2/reports/collectServicesReturnReport
GL Manager,Combined Federal/State Code,i1099/combinedfedstatecode,i1099,Global,glmanagernet,
Both AR & GL Manager,Commercial AR Analytics,armanager/commercialanalyticsreport,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/armanager/commercialanalyticsreport
AR Manager,Commercial Late Fee,armanager/commpostlatefee,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/armanager/commpostlatefee
AR Manager,Consolidated Receipt,affordable/consolidatedreceipt,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/affordable/consolidatedreceipt
GL Manager,Create Adhoc Journal Batch,icbilling/createadhocbatch,glmanagernet,Global,glmanagernet,/glmanagernet/content2/icbilling/createadhocbatch
AR Manager,Create Charge Batch,charge/component?opennewchargebatch=true,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/charge/component?opennewchargebatch=true
GL Manager,Create IAT Journal,iatjournals/list,glmanagernet,Global,glmanagernet,
AR Manager,Create Late Fee,armanager/commcombinedlatefee,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/armanager/commcombinedlatefee
AR Manager,Create Performance Receipts,tools/generateperfrec,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/tools/generateperfrec
GL Manager,Create Receipt Batch,receipt/batchreceipt?BatchId=0,glmanagernet,Global,glmanagernet,/glmanagernet/content2/receipt/batchreceipt?BatchId=0
AR Manager,Credit Card - Show Reverse Button,reports/creditcardshowreversereport,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/reports/creditcardshowreversereport
AR Manager,Credit Card Configuration,setup/creditcardconfiguration,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/setup/creditcardconfiguration
AR Manager,Credit Card History Log,reports/creditcardhistorylog,AR Manager - Payments,Global,ARManagera13NET,/armanagera13net/content2/reports/creditcardhistorylog
AR Manager,Credit Card Reconciliation,tools/reconcilecreditcardbatches,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/tools/reconcilecreditcardbatches
GL Manager,Custom Financial,customfinancial,glmanagernet,Global,glmanagernet,
GL Manager,Custom Financial - Notes,customfinancialnotes,glmanagernet,Global,glmanagernet,
AR Manager,Daily Recurring Report,reports/dailyrecurringpayments,AR Manager - Payments,Global,ARManagera13NET,/armanagera13net/content2/reports/dailyrecurringpayments
AR Manager,Deactivate Recurring Payment Setup,tools/deactivatepaymentmanager,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/tools/deactivatepaymentmanager
AR Manager,Deactivate WIPS Accounts,tools/deactivatewipsaccounts,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/tools/deactivatewipsaccounts
AR Manager,Deposit Interest Analytics,armanager/dianalytics/dia,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/armanager/dianalytics/dia
AR Manager,Deposit Interest Batch Register,receivables/depositinterest/BatchRegister,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/receivables/depositinterest/BatchRegister
AR Manager,Deposit Interest Calculation Reversal,receivables/depositinterest/DICalculationReversal,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/receivables/depositinterest/DICalculationReversal
AR Manager,Deposit Interest Conversion,armanager/depositInterestConversion,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/armanager/depositInterestConversion
AR Manager,Deposit Interest Distribution,receivables/depositinterest/DIDistributionReport,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/receivables/depositinterest/DIDistributionReport
AR Manager,Deposit Interest Liability Detail,receivables/depositinterest/DILiabilityDetailReport,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/receivables/depositinterest/DILiabilityDetailReport
AR Manager,Deposit Interest Liability Detail By Batch,receivables/depositinterest/DILiabilityDetailByBatchReport,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/receivables/depositinterest/DILiabilityDetailByBatchReport
AR Manager,Deposit Interest Liability Summary,receivables/depositinterest/DILiabilitySummaryReport,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/receivables/depositinterest/DILiabilitySummaryReport
AR Manager,Deposit Interest Liability Summary By Batch,receivables/depositinterest/DILiabilitySummaryByBatchReport,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/receivables/depositinterest/DILiabilitySummaryByBatchReport
AR Manager,Deposit Interest Paid Summary,receivables/depositinterest/DIPaidSummaryReport,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/receivables/depositinterest/DIPaidSummaryReport
AR Manager,Deposit Interest Reconciliation Report,receivables/depositinterest/DILiabilityReconciliationReport,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/receivables/depositinterest/DILiabilityReconciliationReport
AR Manager,Dispute Summary Report,reports/disputesummaryreport,AR Manager - Payments,Global,ARManagera13NET,/armanagera13net/content2/reports/disputesummaryreport
AR Manager,Distribute Deposit Interest,armanager/distributedepositinterest,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/armanager/distributedepositinterest
AR Manager,EBill Report,aca/ebillreport,AR Manager - ACA,Global,ARManagera13NET,/armanagera13net/content2/aca/ebillreport
GL Manager,EC Purchase Audit Non Recoverable JE,taxrecovery/ecpurauditnonrecoverableje,glmanagernet,Global,glmanagernet,/glmanagernet/content2/taxrecovery/ecpurauditnonrecoverableje
GL Manager,EC Purchase Non Recoverable JE,taxrecovery/ecpurnonrecoverableje,glmanagernet,Global,glmanagernet,/glmanagernet/content2/taxrecovery/ecpurnonrecoverableje
AR Manager,Edit EFT Batches,tools/editeftbatches,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/tools/editeftbatches
AR Manager,EFT Account Cleanup,setup/eftsetupdelete,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/setup/eftsetupdelete
AR Manager,EFT Summary,reports/eftsummaryreport,AR Manager - Payments,Global,ARManagera13NET,/armanagera13net/content2/reports/eftsummaryreport
GL Manager,Electronic Recipient Statement Report,i1099/erecipientstmtreport,i1099,Global,glmanagernet,/glmanagernet/content2/#/i1099/erecipientstmtreport
AR Manager,Elevate Menu Access Log,/reports/elevatemenuaccesslog,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/reports/elevatemenuaccesslog
AR Manager,Email Notification Setup-Global,setup/emailnotificationsetup,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/setup/emailnotificationsetup
AR Manager,Email Subscription,setup/emailsubscriptionsetup,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/setup/emailsubscriptionsetup
AR Manager,Email Subscription Detail Report,reports/emailsubscriptiondetailreport,AR Manager - Payments,Global,ARManagera13NET,/armanagera13net/content2/reports/emailsubscriptiondetailreport
AR Manager,Email Summary,reports/emailDashboard,AR Manager - Payments,Global,ARManagera13NET,/armanagera13net/content2/reports/emailDashboard
AR Manager,Find Adjustment Batch,armanager/adjustmentbatchsearch,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/armanager/adjustmentbatchsearch
AR Manager,Find Charge Batch,charge/component,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/charge/component
Both AR & GL Manager,Find Journal Batches,journalcomponent/findjournalbatch,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/journalcomponent/findjournalbatch
GL Manager,Find Receipt Batch,receipt/findbatches,glmanagernet,Global,glmanagernet,/glmanagernet/content2/receipt/findbatches
AR Manager,Full Service Collect Deleted Or Returned Checks,reports/fullServiceDeletedReportCtrl,AR Manager - Payments,Global,ARManagera13NET,/armanagera13net/content2/reports/fullServiceDeletedReportCtrl
GL Manager,GPR Configuration,gprconfiguration,glmanagernet,Global,glmanagernet,/glmanagernet/content2/gprconfiguration
AR Manager,Home,armanagerdashboard,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/armanagerdashboard
AR Manager,Home,acadashboard,AR Manager - ACA,Global,ARManagera13NET,/armanagera13net/content2/acadashboard
GL Manager,i1099,/i1099/dashboard,i1099,Global,glmanagernet,/glmanagernet/content2/i1099/dashboard
GL Manager,IC Billing Template,icbilling/reviewicbilling,glmanagernet,Global,glmanagernet,/glmanagernet/content2/icbilling/reviewicbilling
GL Manager,Journal Display Type,je/reviewdisplaytype,glmanagernet,Global,ARManagera13NET,/armanagera13net/content2/JE/reviewdisplaytype
GL Manager,Late Fees,latefees,glmanagernet,Global,glmanagernet,
AR Manager,Legacy Payment Manager Directory Report,reports/legacypaymentmanagerdirectoryreport,AR Manager - Payments,Global,ARManagera13NET,/armanagera13net/content2/reports/legacypaymentmanagerdirectoryreport
AR Manager,Merchant Account Configuration Report,reports/merchantaccountconfigurationreport,AR Manager - Payments,Global,ARManagera13NET,/armanagera13net/content2/reports/merchantaccountconfigurationreport
GL Manager,Monthly Posting,monthlyposting,glmanagernet,Global,glmanagernet,
GL Manager,Non-Recoverable JE,taxrecovery/nonrecoverableje,glmanagernet,Global,glmanagernet,/glmanagernet/content2/taxrecovery/nonrecoverableje
AR Manager,NSF Checks,checkscan/nsfchecks,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/checkscan/nsfchecks
GL Manager,Pay Interest,payinterest,glmanagernet,Global,glmanagernet,
Both AR & GL Manager,Payers,tenant/list,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/tenant/list
AR Manager,Payment Manager Directory,reports/paymentmanagerdirectory,AR Manager - Payments,Global,ARManagera13NET,/armanagera13net/content2/reports/paymentmanagerdirectory
AR Manager,Payment Manager Summary,reports/paymentmanagersummaryreport,AR Manager - Payments,Global,ARManagera13NET,/armanagera13net/content2/reports/paymentmanagersummaryreport
AR Manager,Payment Processing Property Setup,setup/cmpipropertysetup,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/setup/cmpipropertysetup
AR Manager,Payments Not Processed Report,reports/paymentsNotProcessed,AR Manager - Payments,Global,ARManagera13NET,/armanagera13net/content2/reports/paymentsNotProcessed
AR Manager,Performance Receipts Report,reports/performancereceiptsreport,AR Manager - Payments,Global,ARManagera13NET,/armanagera13net/content2/reports/performancereceiptsreport
AR Manager,Post ACA Batches,aca/postacabatches,AR Manager - ACA Admin,Global,ARManagera13NET,/armanagera13net/content2/aca/postacabatches
AR Manager,Post CHECKscan Batches,setup/postcheckscanbatches,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/setup/postcheckscanbatches
AR Manager,Post Chicago Late Fee,armanager/chicagolatefee,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/armanager/chicagolatefee
AR Manager,Post Credit Card Batches,setup/postcreditcardbatches,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/setup/postcreditcardbatches
AR Manager,Post EFT Batches,setup/posteftbatches,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/setup/posteftbatches
AR Manager,Post Fixed Charge,charges/postfixedcharge,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/charges/postfixedcharge
AR Manager,Post Flex Receipts,tools/postflexbatches,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/tools/postflexbatches
GL Manager,Post GL Allocation,glallocatepost,glmanagernet,Global,glmanagernet,
GL Manager,Post Month,taxreport/rep1pm,glmanagernet,Global,glmanagernet,
GL Manager,Post Month,taxreport/rep2pm,glmanagernet,Global,glmanagernet,
GL Manager,Post Month,taxreport/reprpm,glmanagernet,Global,glmanagernet,
GL Manager,Post Month,taxreportundo/rep2,glmanagernet,Global,glmanagernet,
GL Manager,Post Month,taxreportupdate/rep1pm,glmanagernet,Global,glmanagernet,
AR Manager,Post WIPS Batches,tools/postwipsbatches,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/tools/postwipsbatches
AR Manager,PP2 Directory ACH Report,reports/pp2directoryachreport,AR Manager - Payments,Global,ARManagera13NET,/armanagera13net/content2/reports/pp2directoryachreport
AR Manager,PP2 Directory Credit Card Report,reports/pp2DirectoryCCReport,AR Manager - Payments,Global,ARManagera13NET,/armanagera13net/content2/reports/pp2DirectoryCCReport
AR Manager,Process Payments,tools/processpayments,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/tools/processpayments
AR Manager,Properties,properties/list,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/properties/list
GL Manager,Purchase Order Accrual,poaccrual,glmanagernet,Global,glmanagernet,/glmanagernet/content2/poaccrual
AR Manager,Quick Charge Cleanup,armanager/QuickChargeCleanup,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/armanager/QuickChargeCleanup
GL Manager,Quick Charges,tools/createquickcharge,glmanagernet,Global,ARManagera13NET,/armanagera13net/content2/tools/createquickcharge
AR Manager,Quick Overpay Cleanup,armanager/QuickOverpayCleanup,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/armanager/QuickOverpayCleanup
Both AR & GL Manager,Quick Receipt,tools/quickreceipt,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/tools/quickreceipt
AR Manager,Quick Trans,armanager/quicktrans,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/armanager/quicktrans
AR Manager,Rebuild Tenant Deposit Interest,armanager/rebuild,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/armanager/rebuild
AR Manager,Receipt Display type,receipts/receiptdisplaytype,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/receipts/receiptdisplaytype
AR Manager,Receivable Detail by Charge Code,reports/receivabledetailbychargecode,AR Manager - Payments,Global,ARManagera13NET,/armanagera13net/content2/reports/receivabledetailbychargecode
GL Manager,Recipient Opt In/Opt Out Report,i1099/optinreport,i1099,Global,glmanagernet,/glmanagernet/content2/#/i1099/optinreport
AR Manager,Reconcile Collect Batch,tools/reconcilecollectbatch,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/tools/reconcilecollectbatch
AR Manager,Reconciliation Report,reports/paymentProcessorCDR,AR Manager - Payments,Global,ARManagera13NET,/armanagera13net/content2/reports/paymentProcessorCDR
AR Manager,Recurring Payment Setup Global,setup/recurringpaymentsetupglobal,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/setup/recurringpaymentsetupglobal
Both AR & GL Manager,Register Reports,reports/transactionregisterreport,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/reports/transactionregisterreport
AR Manager,Register Reports (International),reports/transactionregisterreportint,AR Manager - Payments,Global,ARManagera13NET,/armanagera13net/content2/reports/transactionregisterreportint
AR Manager,Reset Checkscan Batch,checkscan/resetcheckscanbatches,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/checkscan/resetcheckscanbatches
AR Manager,Resident Payment Event,reports/residentpaymentevent,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/reports/residentpaymentevent
Both AR & GL Manager,Residential Write Off,residentialwriteoff,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/residentialwriteoff
Both AR & GL Manager,Residential Write Off Charge Code Setup,residentialwriteoff/reswriteoffchargecodesetup,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/residentialwriteoff/reswriteoffchargecodesetup
Both AR & GL Manager,Residential Write Off Configuration,residentialwriteoff/reswriteoffconfiguration,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/residentialwriteoff/reswriteoffconfiguration
AR Manager,Residents With No Anniversary Date,receivables/depositinterest/ResNoAnniversaryDateReport,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/receivables/depositinterest/ResNoAnniversaryDateReport
AR Manager,Returned Transaction Report,reports/returnedTransactionReport,AR Manager - Payments,Global,ARManagera13NET,/armanagera13net/content2/reports/returnedTransactionReport
AR Manager,Reverse Deposit Interest Calculation,armanager/reversedepositinterest,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/armanager/reversedepositinterest
AR Manager,Reverse Deposit Interest Distribution,armanager/dianalytics/ReverseDI,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/armanager/dianalytics/ReverseDI
AR Manager,Review Charge Display type,charges/reviewdisplaytype,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/charges/reviewdisplaytype
GL Manager,Review Charges,charges,glmanagernet,Global,glmanagernet,
AR Manager,Review Company Merchant Setup,setup/reviewcompanymerchant/,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/setup/reviewcompanymerchant/
AR Manager,Review Consolidated Receipt,affordable/reviewaffconsolidatedreceipt,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/affordable/reviewaffconsolidatedreceipt
AR Manager,Review HAP Receipt,affordable/reviewaffhapreceipt,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/affordable/reviewaffhapreceipt
AR Manager,Review Journal,JE/list,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/JE/list
AR Manager,Review Journal Display Types,JE/reviewdisplaytype,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/JE/reviewdisplaytype
GL Manager,Review Payable,glap/payable,glmanagernet,Global,glmanagernet,
GL Manager,Review Payable Batch,glap/payablebatch,glmanagernet,Global,glmanagernet,
GL Manager,Review Payments,payments,glmanagernet,Global,glmanagernet,
AR Manager,Review Receipt Display type,receipts/reviewdisplaytype,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/receipts/reviewdisplaytype
GL Manager,Review Receipts,receipts,glmanagernet,Global,glmanagernet,
AR Manager,Review Rule,armanager/depositinterestrulelist,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/armanager/depositinterestrulelist
AR Manager,Rule Report,receivables/depositinterest/RuleReport,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/receivables/depositinterest/RuleReport
GL Manager,Segment Setup,segments,glmanagernet,Global,glmanagernet,
AR Manager,Set Up Interest,armanager/interestsetup,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/armanager/interestsetup
AR Manager,SQL Reports Role Access,sqlreports/roleaccess,AR Manager - Payments Admin,Global,VoyagerSetupNet,/voyagersetupnet/content2/sqlreports/roleaccess
AR Manager,T5 Analytics,armanager/t5analytics,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/armanager/t5analytics
AR Manager,Task Runner Log Report,reports/taskrunnerlogreport,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/reports/taskrunnerlogreport
GL Manager,Tax Point,taxreport/rep1tp,glmanagernet,Global,glmanagernet,
GL Manager,Tax Point,taxreport/rep2tp,glmanagernet,Global,glmanagernet,
GL Manager,Tax Point,taxreport/reprtp,glmanagernet,Global,glmanagernet,
GL Manager,Tax Point,taxreportundo/rep1,glmanagernet,Global,glmanagernet,
GL Manager,Tax Point,taxreportupdate/rep1tp,glmanagernet,Global,glmanagernet,
AR Manager,Tenant Based Subsidy Charge Code,affordable/tenantbasedsubsidycharge,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/affordable/tenantbasedsubsidycharge
AR Manager,Tenant Disputes Report,reports/tenantdisputesreport,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/reports/tenantdisputesreport
AR Manager,UnDistributed Deposit Interest,receivables/depositinterest/UndistributedDIReport,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/receivables/depositinterest/UndistributedDIReport
GL Manager,Update 1099 Audit Analytics,i1099/update1099auditanalytics,i1099,Global,glmanagernet,
GL Manager,Update 1099 checkbox on Payable Invoice,i1099/updatepayables,i1099,Global,glmanagernet,
AR Manager,Update Receipt Post Month,tools/updatereceiptspostmonth,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/tools/updatereceiptspostmonth
GL Manager,VAT Return Field Sets,vatreturnfieldset,glmanagernet,Global,glmanagernet,/glmanagernet/content2/vatreturnfieldset
GL Manager,VAT Return Mapping,vatreturnmapping,glmanagernet,Global,glmanagernet,
AR Manager,Velocity Report,reports/velocityreport,AR Manager - Payments,Global,ARManagera13NET,/armanagera13net/content2/reports/velocityreport
AR Manager,WIPS ARU Detail Report,reports/wipsarudetail,AR Manager - Payments,Global,ARManagera13NET,/armanagera13net/content2/reports/wipsarudetail
